Year,Value
1998,13.04
1999,13.33
2000,12.67
2001,12.05
2002,11.53
2003,11.57
2004,11.26
2005,10.33
2006,10.21
2007,10.14
2008,9.91
2009,8.47
2010,8.39
2011,8.77
2012,8.8
2013,9.55
2014,10.81
2015,10.92
2016,10.85
2017,10.98
2018,10.46
