Value,Disaggregation combinations using this value,Number of indicators
10:Writing,3,1
11:Numbers,3,1
"12:Shape,spaceandmeasures",3,1
13:PeopleandCommunities,3,1
14:TheWorld,3,1
15:Technology,3,1
16:exploringandusingmediaandmaterials,3,1
17:beingimaginative,3,1
1:ListeningandAttention,3,1
2:Understanding,3,1
3:Speaking,3,1
4:Movingandhandling,3,1
5:Healthandself-care,3,1
6:Self-confidenceandself-awareness,3,1
7:Managingfeelingsandbehaviour,3,1
8:MakingRelationships,3,1
9:Reading,3,1
