Year,Value
2020,30.2
2019,27.8
2018,37.3
2017,37.1
2016,22.6
2015,29.6
2014,36.2
2013,34.2
2012,38.1
2011,45.4
2010,53.9
2009,47.4
2008,59.6
2007,50.2
2006,42.9
2005,47
2004,47.5
2003,53
2002,47.1
2001,51.2
2000,50.7
1999,63.7
1998,55.5
