Year,Value
2001,13
2002,13
2003,13
2004,10
2005,15
2006,11
2007,16
2008,17
2009,16
2010,9
2011,20
2012,23
2013,19
2014,19
2015,25
2016,29
2017,29
2018,17
2019,19
2020,15
