Year,Value
Jan 2004-Dec 2004,21.7
Jan 2005-Dec 2005,21.5
Jan 2006-Dec 2006,21.7
Jan 2007-Dec 2007,22.3
Jan 2008-Dec 2008,21.2
Jan 2009-Dec 2009,25.3
Jan 2010-Dec 2010,24.9
Jan 2011-Dec 2011,24.8
Jan 2012-Dec 2012,24.7
Jan 2013-Dec 2013,25.2
Jan 2014-Dec 2014,26.7
Jan 2015-Dec 2015,26.2
Jan 2016-Dec 2016,26.6
Jan 2017-Dec 2017,26.4
Jan 2018-Dec 2018,31.0
Jan 2019-Dec 2019,32.8
Jan 2020-Dec 2020,36.1
