Year,Value
2001,1.9
2002,2.1
2003,1.9
2004,2.1
2005,1.5
2006,1.7
2007,1.5
2008,1.9
2009,1.9
2010,2.1
2011,2.7
2012,2.5
2013,2.5
2014,1.9
2015,1.7
2016,1.3
2017,1.1
2018,1.1
2019,0.6
